experiment_name,window_size,stride,batch_size,lr,weight_decay,beta,hidden_channels,num_layers,nhead,dropout,use_velocity,use_acceleration,max_rul,seed,epochs,val_rmse_best,test_rmse,test_mae,test_nasa_score
exp_000,200,50,128,0.0003,1e-05,0.75,32,2,8,0.7,True,True,2000,42,200,0.09057582565532547,32.809949351295835,12.128667479420484,3110030.112359883
exp_001,200,60,64,0.001,0.0,1.0,128,3,4,0.8,True,True,2000,43,200,1.706406061901079,31.67392851172312,12.81771485733008,2781487.631164153
exp_002,500,80,128,0.0005,1e-05,1.0,96,2,2,0.7,True,True,2000,44,200,0.049088369312275025,7.169732043534793,0.4796346596309117,1360485.9842392323
exp_003,800,70,32,0.0008,0.0,1.75,32,4,8,0.8,True,True,2000,45,200,0.0404912638550191,13.284260485435205,1.9695620478685456,1406033.921324548
exp_004,200,50,64,0.0005,0.0,1.0,32,5,4,0.7,True,True,2000,46,200,0.4456068313325332,32.90436054958718,12.499695209688817,3227646.333560311
exp_005,800,70,64,0.0005,0.0,0.75,64,3,4,0.7,True,True,2000,47,200,0.21340723811892803,9.100508195037017,0.9787271652223155,1361443.9090493575
exp_006,800,50,64,0.0001,0.0001,1.75,96,2,2,0.8,True,True,2000,48,200,0.42559087227877107,9.085813675834418,1.3409646689638897,1372263.6766350616
exp_007,1000,80,256,0.0003,0.0001,0.75,64,4,8,0.8,True,True,2000,49,200,0.5248136018410126,1.771083711702816,0.530088114666804,55.271976394008234
exp_008,800,60,64,0.001,0.001,0.5,32,2,2,0.3,True,True,2000,50,200,0.6625604265778103,9.0862509841869,1.5079431027131842,1361435.3163963282
exp_009,1000,80,256,0.001,0.0001,0.25,32,4,8,0.5,True,True,2000,51,200,0.3405708667118459,1.7839468457022427,0.41734304779658393,42.95904576019529
exp_010,1000,60,256,0.0001,0.0001,0.75,32,4,8,0.8,True,True,2000,52,200,0.25443517317659137,1.7382411827194775,0.1974517770817627,31.54404608735458
exp_011,800,60,32,0.001,0.0001,2.0,32,2,4,0.5,True,True,2000,53,200,0.9727275716610959,15.480680390200035,7.2404725581112475,39678.170652195004
exp_012,500,50,32,0.0008,0.0,0.75,64,5,8,0.3,True,True,2000,54,200,3.0897974317958488,13.216425148464483,4.7981882385351025,1129893.6628985843
exp_013,500,60,128,0.0008,0.0001,2.0,128,2,2,0.3,True,True,2000,55,200,2.8280836184816764,7.624709426665445,3.2182332299217644,1209653.3006815314
exp_014,200,60,64,0.0001,0.0,0.25,64,2,2,0.5,True,True,2000,56,200,0.13958814664418756,32.88297167866535,12.231779646135003,3184553.985881629
